District,Month,Visitors
Adilabad,January ,560219
Adilabad,February,568050
Adilabad,March,558751
Adilabad,April,544877
Adilabad,May ,565515
Adilabad,June,575420
Adilabad,July,571018
Adilabad,August,576121
Adilabad,September,559519
Adilabad,October,582033
Adilabad,November,620480
Adilabad,December,653123
Hyd & R R Dist.,January ,818916
Hyd & R R Dist.,February,602382
Hyd & R R Dist.,March,621954
Hyd & R R Dist.,April,613155
Hyd & R R Dist.,May ,1138805
Hyd & R R Dist.,June,953240
Hyd & R R Dist.,July,313494
Hyd & R R Dist.,August,782657
Hyd & R R Dist.,September,693608
Hyd & R R Dist.,October,953456
Hyd & R R Dist.,November,821686
Hyd & R R Dist.,December,984073
Karimnagar,January ,1900549
Karimnagar,February,1946638
Karimnagar,March,665732
Karimnagar,April,977479
Karimnagar,May ,949658
Karimnagar,June,1124889
Karimnagar,July,586029
Karimnagar,August,1030134
Karimnagar,September,485551
Karimnagar,October,582801
Karimnagar,November,842652
Karimnagar,December,856213
Khammam,January ,477337
Khammam,February,361970
Khammam,March,502731
Khammam,April,614971
Khammam,May ,516324
Khammam,June,421287
Khammam,July,479408
Khammam,August,421330
Khammam,September,425849
Khammam,October,413163
Khammam,November,310625
Khammam,December,279225
Mahbubnagar,January ,729309
Mahbubnagar,February,699514
Mahbubnagar,March,559659
Mahbubnagar,April,527052
Mahbubnagar,May ,462359
Mahbubnagar,June,394674
Mahbubnagar,July,254085
Mahbubnagar,August,173207
Mahbubnagar,September,172052
Mahbubnagar,October,262683
Mahbubnagar,November,530943
Mahbubnagar,December,625658
Medak,January ,60186
Medak,February,677379
Medak,March,69139
Medak,April,124489
Medak,May ,128010
Medak,June,85292
Medak,July,64326
Medak,August,542052
Medak,September,52330
Medak,October,43602
Medak,November,29959
Medak,December,94073
Nalgonda,January ,1271861
Nalgonda,February,198204
Nalgonda,March,760725
Nalgonda,April,666249
Nalgonda,May ,700838
Nalgonda,June,700679
Nalgonda,July,454931
Nalgonda,August,641772
Nalgonda,September,867317
Nalgonda,October,680237
Nalgonda,November,685716
Nalgonda,December,769298
Nizamabad,January ,673
Nizamabad,February,395
Nizamabad,March,395
Nizamabad,April,412
Nizamabad,May ,467
Nizamabad,June,726
Nizamabad,July,608
Nizamabad,August,589
Nizamabad,September,650
Nizamabad,October,726
Nizamabad,November,663
Nizamabad,December,576
Warangal,January ,1235676
Warangal,February,16035642
Warangal,March,1012310
Warangal,April,414372
Warangal,May ,438986
Warangal,June,353295
Warangal,July,399237
Warangal,August,454931
Warangal,September,674980
Warangal,October,569946
Warangal,November,811397
Warangal,December,826505
